"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 2/6/20, 5:19:16 PM"


76
X,Y
4.89939,2.07182e-07,
14.8731,6.90608e-08,
22.3972,3.45304e-07,
27.4716,6.21547e-07,
32.5459,6.90608e-08,
37.7953,6.21547e-07,
42.3447,6.21547e-07,
47.4191,4.83425e-07,
52.4934,8.97790e-07,
57.2178,1.45028e-06,
62.2922,2.83149e-06,
67.5416,6.56077e-06,
72.4409,1.09807e-05,
77.3403,1.49862e-05,
82.4147,2.09254e-05,
87.3141,2.87983e-05,
92.2135,3.88812e-05,
97.4628,4.64779e-05,
102.187,5.84945e-05,
106.912,6.36050e-05,
112.511,6.73343e-05,
117.585,7.32735e-05,
122.135,7.76934e-05,
126.684,8.19751e-05,
132.283,8.21133e-05,
137.533,8.04558e-05,
142.082,8.39088e-05,
147.507,8.22514e-05,
152.756,8.50138e-05,
157.130,8.01796e-05,
162.030,7.41022e-05,
167.454,7.82459e-05,
172.528,7.56215e-05,
177.603,7.25829e-05,
182.502,7.57597e-05,
187.577,6.78867e-05,
192.476,6.62293e-05,
197.200,6.22238e-05,
202.625,6.12569e-05,
207.524,5.73895e-05,
212.423,5.44890e-05,
217.673,5.18646e-05,
222.572,5.07597e-05,
227.822,4.56492e-05,
232.371,4.44061e-05,
237.270,3.87431e-05,
242.695,3.62569e-05,
247.244,3.30801e-05,
252.143,3.05939e-05,
257.043,2.83840e-05,
262.292,2.42403e-05,
267.367,2.28591e-05,
272.266,2.10635e-05,
277.165,1.88536e-05,
282.065,1.56768e-05,
287.139,1.52624e-05,
292.213,1.19475e-05,
297.638,1.09807e-05,
302.537,8.90884e-06,
306.912,8.90884e-06,
312.511,6.69890e-06,
317.060,5.45580e-06,
322.135,5.04144e-06,
327.209,3.52210e-06,
332.283,2.55525e-06,
337.183,2.41713e-06,
342.257,1.58840e-06,
346.807,1.31215e-06,
351.706,1.03591e-06,
357.830,7.59669e-07,
362.205,4.83425e-07,
367.454,3.45304e-07,
372.703,2.07182e-07,
381.802,-2.07182e-07,
389.501,-6.90608e-08,
399.650,6.90608e-08,
